"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
4,48,116012,84256,4284,4222,7442,3245,4987,2780
10,50,2299597,417523,46633,42473,59148,61287,70817,21905
11,48,1951775,127844,37581,19330,9565,9359,7262,8832
11,53,1064110,56087,66431,10117,11031,8576,25180,10647
24,61,962721,55841,13164,6267,12462,9769,12706,8542
21,74,911153,199781,98526,28964,58619,24063,51714,61395
26,70,75316,7254,972,2094,433,1008,903,472
30,61,115610,16183,2941,4634,1295,2152,6208,2226
20,53,392522,95488,6317,4874,5221,5002,5356,2021
23,44,379907,33730,3562,4406,3484,4407,1788,2553
29,50,1800338,221155,166881,14397,92182,66840,71328,15855
27,51,579301,146148,65887,8506,13334,17675,21765,17438
37,69,1248395,65283,44774,22767,11305,13731,8047,18615
27,80,1222798,720015,283251,120323,59078,51218,58467,52161
13,69,140789,114038,8005,16430,11329,5678,3928,6172
16,69,1975072,57424,31374,5758,14751,10059,17418,6947
23,57,291695,43292,9416,3234,3029,8596,4839,1821
41,57,210755,16336,12119,7661,14988,9366,3135,2450
48,63,116245,35912,12752,1444,1821,3598,6368,2731
37,57,3311288,846840,157055,90784,58620,40462,81564,37638
14,56,846583,432836,56255,27220,43717,8338,13602,7645
1,48,1138622,239129,42995,13367,7847,9493,10368,8745
1,61,824825,135130,215469,53729,44537,17221,9867,12178
1,54,597996,114954,7334,8939,4911,5743,4764,2748
1,63,2015907,1011822,344225,187256,104696,82281,73322,61137
11,57,159440,40278,1205,4838,3034,3828,2474,2265
11,29,130218,137691,3648,7104,12328,6715,13513,5752
21,34,1809075,344818,39721,38407,31131,52353,15961,49322
27,24,1177041,69158,8108,6685,2620,10048,2795,4925
30,27,221075,183665,27095,15730,13468,22535,26306,6421
29,37,156783,50318,4415,3803,4314,2060,4002,1200
37,41,209105,79958,7563,24155,16307,25634,7316,10924
44,47,385328,17505,8087,4157,6327,8662,2965,4414
